query,start,end,day_count
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-04T00:00:00.000Z,2021-10-05T00:00:00.000Z,35635
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-05T00:00:00.000Z,2021-10-06T00:00:00.000Z,35021
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-06T00:00:00.000Z,2021-10-07T00:00:00.000Z,35895
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-07T00:00:00.000Z,2021-10-08T00:00:00.000Z,37124
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-08T00:00:00.000Z,2021-10-09T00:00:00.000Z,41043
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-09T00:00:00.000Z,2021-10-10T00:00:00.000Z,36456
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-10T00:00:00.000Z,2021-10-11T00:00:00.000Z,31387
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-11T00:00:00.000Z,2021-10-12T00:00:00.000Z,38910
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-12T00:00:00.000Z,2021-10-13T00:00:00.000Z,36589
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-13T00:00:00.000Z,2021-10-14T00:00:00.000Z,31595
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-14T00:00:00.000Z,2021-10-15T00:00:00.000Z,31450
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-15T00:00:00.000Z,2021-10-16T00:00:00.000Z,39676
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-16T00:00:00.000Z,2021-10-17T00:00:00.000Z,29457
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-17T00:00:00.000Z,2021-10-18T00:00:00.000Z,29705
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-08-24T00:00:00.000Z,2021-08-25T00:00:00.000Z,376559
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-08-25T00:00:00.000Z,2021-08-26T00:00:00.000Z,363487
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-08-26T00:00:00.000Z,2021-08-27T00:00:00.000Z,610103
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-08-27T00:00:00.000Z,2021-08-28T00:00:00.000Z,447870
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-08-28T00:00:00.000Z,2021-08-29T00:00:00.000Z,291187
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-08-29T00:00:00.000Z,2021-08-30T00:00:00.000Z,283232
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-08-30T00:00:00.000Z,2021-08-31T00:00:00.000Z,334148
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-08-31T00:00:00.000Z,2021-09-01T00:00:00.000Z,439346
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-01T00:00:00.000Z,2021-09-02T00:00:00.000Z,339414
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-02T00:00:00.000Z,2021-09-03T00:00:00.000Z,232025
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-03T00:00:00.000Z,2021-09-04T00:00:00.000Z,192805
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-04T00:00:00.000Z,2021-09-05T00:00:00.000Z,164219
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-05T00:00:00.000Z,2021-09-06T00:00:00.000Z,160977
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-06T00:00:00.000Z,2021-09-07T00:00:00.000Z,172881
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-07T00:00:00.000Z,2021-09-08T00:00:00.000Z,176016
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-08T00:00:00.000Z,2021-09-09T00:00:00.000Z,182875
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-09T00:00:00.000Z,2021-09-10T00:00:00.000Z,174069
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-10T00:00:00.000Z,2021-09-11T00:00:00.000Z,139912
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-11T00:00:00.000Z,2021-09-12T00:00:00.000Z,133175
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-12T00:00:00.000Z,2021-09-13T00:00:00.000Z,98846
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-13T00:00:00.000Z,2021-09-14T00:00:00.000Z,109509
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-14T00:00:00.000Z,2021-09-15T00:00:00.000Z,114587
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-15T00:00:00.000Z,2021-09-16T00:00:00.000Z,92249
